generation,best_so_far,best_reached,gen_best,gen_mean,gen_median,sigma,stagnation,local_search_improved,immigrants,evals,cache_hits,gen_seconds,wall_s
0,79.04247339693521,3,79.04247339693521,35.72717156777339,41.137951420097686,0.095,0,False,0,24,0,131.84,131.8
1,79.04247339693521,3,79.04247339693521,28.916688242966288,27.86532906072687,0.095,1,False,0,46,2,106.63,238.5
2,79.04247339693521,3,79.04247339693521,33.685940951978345,30.521237754495534,0.095,2,False,0,68,4,105.78,344.3
3,79.04247339693521,3,79.04247339693521,38.48647396065174,42.95470129692622,0.095,3,False,0,90,6,112.39,456.7
4,79.04247339693521,3,79.04247339693521,32.59299565704093,35.290780713145026,0.095,4,False,0,118,8,211.54,668.2
5,79.04247339693521,3,79.04247339693521,37.5467484620028,39.03294141340041,0.095,5,False,0,140,10,193.73,861.9
6,79.04247339693521,3,79.04247339693521,36.893337661275204,41.06465122371746,0.095,6,False,0,162,12,146.14,1008.1
7,79.04247339693521,3,79.04247339693521,38.95139616705058,40.91716572464783,0.095,7,False,0,184,14,144.23,1152.3
8,79.04247339693521,3,79.04247339693521,35.19205076124806,33.098603776972595,0.095,8,False,0,206,16,146.6,1298.9
9,84.82585863966595,3,84.82585863966595,37.665962840397334,41.61283011257776,0.09025,0,False,0,234,18,220.33,1519.3
10,91.57107234969489,3,91.57107234969489,42.415926612050306,45.50903292875795,0.0857375,0,False,0,256,20,170.95,1690.2
11,91.57107234969489,3,91.57107234969489,45.73920673802697,39.76637919149227,0.0857375,1,False,0,278,22,156.71,1847.0
12,91.57107234969489,3,91.57107234969489,39.027202315108234,38.89442940348506,0.0857375,2,False,0,300,24,120.89,1967.8
13,91.57107234969489,3,91.57107234969489,45.07559485317759,47.18179908654357,0.0857375,3,False,0,322,26,115.26,2083.1
14,91.57107234969489,3,91.57107234969489,52.24594919959403,51.05987633040334,0.0857375,4,False,0,350,28,153.93,2237.0
15,91.57107234969489,3,91.57107234969489,47.01801625449736,38.64205414047855,0.0857375,5,False,0,372,30,112.15,2349.2
16,94.63899294759518,4,94.63899294759518,52.649839292241815,58.71921060393048,0.08145062499999998,0,False,0,394,32,116.64,2465.9
17,94.63899294759518,4,94.63899294759518,53.02535779159779,50.363732528009805,0.08145062499999998,1,False,0,416,34,119.95,2585.8
18,94.63899294759518,4,94.63899294759518,51.20153197246383,52.46328194516135,0.08145062499999998,2,False,0,438,36,142.93,2728.8
19,94.63899294759518,4,94.63899294759518,43.60860736024133,44.386210477418985,0.08145062499999998,3,False,0,466,38,177.08,2905.8
20,94.63899294759518,4,94.63899294759518,46.800218092334916,47.82530311970929,0.08145062499999998,4,False,0,488,40,122.45,3028.3
21,94.63899294759518,4,94.63899294759518,45.141467016658204,42.696133742554316,0.08145062499999998,5,False,0,510,42,99.18,3127.5
22,100.2867002812939,4,100.2867002812939,45.65958735527469,46.80597158833973,0.07737809374999999,0,False,0,532,44,104.82,3232.3
23,100.2867002812939,4,100.2867002812939,48.034823001346915,46.810460735228254,0.07737809374999999,1,False,0,554,46,110.34,3342.7
24,100.2867002812939,4,100.2867002812939,52.73481063974691,51.933718513778615,0.07737809374999999,2,False,0,582,48,143.59,3486.3
25,104.33559668886653,4,104.33559668886653,59.08540802020573,59.40415307156365,0.07350918906249998,0,False,0,604,50,111.23,3607.2
26,104.33559668886653,4,104.33559668886653,49.08762392506694,46.24651330321701,0.07350918906249998,1,False,0,626,52,100.21,3707.5
27,104.33559668886653,4,104.33559668886653,61.47532050907855,70.89593057111385,0.07350918906249998,2,False,0,648,54,106.69,3814.2
28,104.33559668886653,4,104.33559668886653,55.8643497803648,55.68614493709896,0.07350918906249998,3,False,0,670,56,107.4,3921.6
29,104.33559668886653,4,104.33559668886653,60.79193028313563,59.73687080208794,0.07350918906249998,4,False,0,698,58,146.32,4067.9
30,104.33559668886653,4,104.33559668886653,60.04976079346869,62.52506833105227,0.07350918906249998,5,False,0,720,60,110.12,4178.0
